cruise_line,destination,departure_port,cabin_type,duration_nights,departure_month,days_until_departure,ship_age_years,passengers,price
Norwegian,Mexico,Seattle,Ocean View,5,1,360,9,1,5190
Celebrity,Mediterranean,New Orleans,Suite,8,1,365,17,3,57850
Celebrity,Mexico,Tampa,Interior,8,6,146,16,2,8400
Carnival,Hawaii,Los Angeles,Suite,5,8,196,8,4,51320
Holland America,Northern Europe,Tampa,Ocean View,10,9,226,1,2,34660
Disney,Northern Europe,San Juan,Balcony,12,11,304,9,2,71350
Disney,Alaska,Miami,Ocean View,9,12,316,16,2,30120
Norwegian,Northern Europe,Miami,Ocean View,13,3,44,14,4,67830
Holland America,Alaska,Galveston,Ocean View,9,11,308,23,2,20290
MSC,Mediterranean,New York,Balcony,13,11,291,16,2,31160
Disney,South Pacific,Galveston,Ocean View,13,2,13,9,2,68300
Princess,Alaska,New York,Interior,11,12,318,7,1,12880
MSC,Mediterranean,Port Canaveral,Interior,13,2,12,0,1,11020
Carnival,Mexico,Miami,Balcony,6,1,344,22,2,9730
Holland America,Alaska,New Orleans,Interior,10,2,24,9,3,22110
Carnival,Mediterranean,Fort Lauderdale,Balcony,14,7,171,4,4,93980
Disney,Alaska,San Juan,Interior,13,12,336,10,3,49460
Holland America,Mexico,Port Canaveral,Ocean View,5,2,12,10,2,8320
Norwegian,Caribbean,Tampa,Ocean View,5,5,125,0,2,7470
Disney,Northern Europe,San Juan,Suite,9,12,325,8,2,74040
Holland America,Alaska,Galveston,Interior,9,2,9,2,2,15600
Celebrity,Mediterranean,Los Angeles,Interior,13,3,58,16,2,29250
Celebrity,South Pacific,New Orleans,Ocean View,7,7,165,7,3,34680
Princess,South Pacific,Fort Lauderdale,Balcony,12,5,122,2,2,58470
Disney,Hawaii,Fort Lauderdale,Suite,3,10,261,15,2,21640
Norwegian,Bahamas,Galveston,Suite,4,9,221,2,3,11070
Norwegian,Caribbean,Galveston,Ocean View,7,11,305,19,3,12750
MSC,South Pacific,Tampa,Ocean View,10,7,159,23,2,21300
Princess,Mexico,Los Angeles,Balcony,5,12,318,0,3,18740
Disney,Northern Europe,Los Angeles,Interior,13,4,72,24,2,44230
Carnival,Caribbean,Seattle,Suite,5,12,318,2,3,32480
Royal Caribbean,Hawaii,Los Angeles,Interior,6,1,343,5,3,25970
Celebrity,Bahamas,Galveston,Balcony,5,6,137,1,2,7360
Carnival,Hawaii,Galveston,Interior,5,3,47,23,3,9800
Carnival,Hawaii,New Orleans,Suite,5,12,324,12,2,30580
MSC,Bahamas,Miami,Suite,6,9,249,0,1,6660
Royal Caribbean,Mediterranean,New Orleans,Interior,11,4,67,17,2,17200
Royal Caribbean,Mediterranean,Port Canaveral,Ocean View,7,1,355,6,2,20560
Holland America,Alaska,Tampa,Interior,13,1,357,8,2,25270
Royal Caribbean,South Pacific,Port Canaveral,Interior,9,12,318,22,2,26820
Holland America,Mexico,San Juan,Suite,5,5,111,23,2,12550
Holland America,Alaska,Miami,Ocean View,14,7,160,8,3,76680
Royal Caribbean,Northern Europe,Miami,Suite,14,2,28,19,2,62790
Carnival,Bahamas,Tampa,Balcony,4,5,109,21,3,5430
Norwegian,Northern Europe,Fort Lauderdale,Suite,11,11,290,10,2,62860
Celebrity,Alaska,Tampa,Suite,8,3,64,19,2,34030
Royal Caribbean,Mexico,Port Canaveral,Suite,4,7,167,7,2,10550
Disney,Caribbean,Los Angeles,Suite,9,8,193,22,2,33590
Disney,Caribbean,Tampa,Ocean View,4,3,39,9,2,10680
Carnival,Hawaii,San Juan,Ocean View,5,10,255,25,2,9210
Holland America,Alaska,Port Canaveral,Suite,13,2,8,11,2,48820
Royal Caribbean,Alaska,Fort Lauderdale,Suite,11,2,15,4,2,42650
Disney,Caribbean,Seattle,Ocean View,6,2,31,10,4,32880
Royal Caribbean,Northern Europe,Miami,Ocean View,10,9,229,0,2,40150
Norwegian,Bahamas,New Orleans,Suite,7,12,326,17,2,18920
Royal Caribbean,Mediterranean,San Juan,Interior,9,3,37,25,3,24090
Royal Caribbean,Alaska,Port Canaveral,Balcony,11,7,180,5,2,47510
Disney,Hawaii,San Juan,Suite,5,3,64,18,2,33610
Norwegian,Northern Europe,Miami,Interior,13,2,29,4,3,42480
Disney,Hawaii,New Orleans,Suite,6,6,138,25,2,50760
Norwegian,Caribbean,New Orleans,Balcony,7,12,316,9,2,18330
Celebrity,Mediterranean,Fort Lauderdale,Interior,8,11,287,19,2,17800
Celebrity,Mediterranean,New Orleans,Balcony,13,8,214,5,3,89710
Celebrity,Alaska,Los Angeles,Interior,7,7,168,22,2,21980
Royal Caribbean,Mediterranean,Fort Lauderdale,Suite,9,7,165,17,2,61110
Disney,Caribbean,Los Angeles,Balcony,8,4,85,24,2,22640
Holland America,Caribbean,Tampa,Ocean View,5,3,39,11,2,10250
Royal Caribbean,Bahamas,Tampa,Balcony,6,3,41,14,2,10280
Carnival,Northern Europe,Fort Lauderdale,Suite,7,7,184,16,2,38480
Royal Caribbean,Hawaii,Port Canaveral,Ocean View,5,3,45,6,2,14220
Celebrity,Mexico,San Juan,Suite,5,8,199,8,3,21910
Celebrity,Mediterranean,Galveston,Interior,14,11,305,1,2,31930
Disney,Bahamas,New York,Interior,6,10,279,12,2,8260
Princess,Northern Europe,Seattle,Ocean View,8,11,290,7,2,27820
Celebrity,South Pacific,New York,Balcony,7,8,198,21,2,34030
Norwegian,Mediterranean,Los Angeles,Suite,8,11,284,8,2,43210
Royal Caribbean,Bahamas,Port Canaveral,Ocean View,3,8,191,13,2,3050
MSC,Mediterranean,San Juan,Ocean View,10,1,356,4,2,23340
Holland America,Mexico,Miami,Balcony,4,11,294,4,2,7500
Norwegian,Northern Europe,Seattle,Suite,9,6,139,5,2,71710
MSC,Alaska,New York,Ocean View,9,2,30,4,2,17760
Norwegian,Caribbean,New Orleans,Interior,6,1,7,2,2,8530
MSC,Mediterranean,New York,Ocean View,9,5,115,9,2,19770
Carnival,Alaska,Los Angeles,Interior,12,3,50,10,3,27520
Celebrity,Alaska,Miami,Suite,14,7,172,13,2,106480
Carnival,Mediterranean,Fort Lauderdale,Ocean View,13,6,152,7,2,38840
Norwegian,Alaska,Port Canaveral,Suite,14,9,237,14,2,64860
MSC,Bahamas,New York,Suite,6,2,24,12,2,14830
Princess,South Pacific,Los Angeles,Interior,12,2,33,7,2,45660
Royal Caribbean,Hawaii,Port Canaveral,Balcony,6,7,162,4,2,25010
Carnival,Caribbean,New Orleans,Suite,7,4,74,15,2,16790
Holland America,South Pacific,New York,Balcony,14,9,222,4,2,64800
Royal Caribbean,Northern Europe,Miami,Ocean View,10,8,214,6,3,62180
Celebrity,Northern Europe,Seattle,Balcony,11,11,300,14,2,42340
Disney,Mediterranean,New York,Interior,14,11,301,17,3,62210
Carnival,Mexico,Miami,Suite,6,12,324,10,3,25160
Royal Caribbean,Mexico,Port Canaveral,Ocean View,7,9,230,9,2,8220
Norwegian,Mediterranean,Seattle,Balcony,8,4,87,22,2,25020
Carnival,Bahamas,San Juan,Balcony,5,7,180,7,2,6120
Royal Caribbean,Bahamas,Los Angeles,Ocean View,5,1,364,5,2,7770
MSC,Mexico,New Orleans,Suite,4,12,333,5,2,10660
Disney,South Pacific,New York,Interior,9,4,72,6,2,35160
Disney,Caribbean,New York,Balcony,10,6,155,2,2,31870
Royal Caribbean,Northern Europe,Tampa,Interior,11,11,301,20,2,23510
Princess,South Pacific,Seattle,Balcony,12,10,270,13,2,46240
Princess,Northern Europe,New York,Ocean View,7,12,324,14,2,23130
Holland America,Bahamas,New York,Interior,4,4,79,13,1,2850
Holland America,Alaska,Fort Lauderdale,Interior,12,7,170,23,2,33730
Holland America,Mexico,Los Angeles,Balcony,6,10,274,12,2,11100
Celebrity,South Pacific,Fort Lauderdale,Balcony,11,6,137,15,2,44980
Royal Caribbean,Caribbean,Seattle,Interior,6,7,179,16,3,10210
Holland America,Alaska,Miami,Balcony,13,8,202,11,2,52620
Carnival,Alaska,New Orleans,Ocean View,11,3,42,24,2,16540
Disney,Mexico,Port Canaveral,Interior,7,5,110,6,2,10930
Holland America,Caribbean,Galveston,Ocean View,7,2,28,23,1,7550
Royal Caribbean,Mediterranean,Tampa,Suite,11,6,144,4,4,155390
Holland America,Caribbean,Miami,Ocean View,7,7,177,23,1,6240
MSC,Caribbean,Fort Lauderdale,Balcony,5,1,349,18,1,5600
Holland America,Bahamas,San Juan,Suite,6,11,301,15,2,15210
Princess,Hawaii,New York,Ocean View,5,5,114,11,2,14800
Princess,Caribbean,Galveston,Balcony,8,9,244,6,2,13540
Holland America,South Pacific,New York,Balcony,10,11,300,10,2,60680
MSC,Mexico,Galveston,Interior,6,12,328,24,2,5670
Norwegian,Northern Europe,Port Canaveral,Interior,11,6,145,4,2,32090
Royal Caribbean,Mediterranean,Galveston,Interior,9,7,177,16,2,20310
Royal Caribbean,South Pacific,New Orleans,Ocean View,10,3,56,18,3,47830
Disney,South Pacific,New York,Balcony,12,12,319,11,4,171460
Carnival,Mexico,New York,Interior,8,6,143,21,2,6950
Norwegian,Mediterranean,New York,Interior,9,12,317,10,3,27680
Holland America,Mexico,San Juan,Interior,5,6,132,20,3,6430
Norwegian,Northern Europe,Galveston,Interior,13,12,325,24,2,22090
Disney,Northern Europe,New Orleans,Suite,10,3,57,14,2,70000
Royal Caribbean,Northern Europe,Port Canaveral,Suite,10,1,343,20,4,104850
Carnival,Hawaii,New York,Interior,8,3,53,14,2,15210
Norwegian,Mexico,Seattle,Ocean View,7,7,181,18,2,8580
Royal Caribbean,Northern Europe,Tampa,Ocean View,9,5,119,20,2,22660
Disney,Caribbean,Port Canaveral,Ocean View,5,1,354,18,1,8070
Holland America,Hawaii,New York,Balcony,6,9,236,1,2,26760
Princess,South Pacific,San Juan,Suite,11,3,43,20,3,107720
Holland America,South Pacific,Galveston,Balcony,8,11,285,17,2,37910
Royal Caribbean,South Pacific,Los Angeles,Ocean View,12,11,305,2,2,58970
Royal Caribbean,Mexico,New York,Balcony,10,12,328,12,2,22260
MSC,Mexico,Seattle,Suite,5,2,18,4,4,26960
Disney,Northern Europe,Port Canaveral,Interior,13,1,355,3,2,49670
Royal Caribbean,Hawaii,New York,Interior,8,11,286,3,2,20380
Holland America,Bahamas,Miami,Ocean View,6,10,257,0,4,14120
Holland America,Caribbean,Miami,Interior,6,4,74,7,2,10370
Norwegian,Alaska,New York,Suite,10,5,121,8,4,85230
Holland America,Mexico,Miami,Suite,5,7,168,1,2,16200
Celebrity,South Pacific,New York,Suite,10,5,104,10,2,80230
Disney,Caribbean,Los Angeles,Suite,5,3,58,24,2,28930
MSC,Bahamas,Galveston,Balcony,5,2,28,21,3,7380
Celebrity,South Pacific,Galveston,Interior,8,10,275,15,2,19300
MSC,Mexico,New Orleans,Balcony,3,8,195,16,2,3340
Carnival,Bahamas,Fort Lauderdale,Balcony,5,10,254,1,2,5830
Carnival,Alaska,Galveston,Ocean View,10,8,212,17,4,35790
Carnival,Hawaii,New York,Suite,6,2,26,18,2,27810
Disney,South Pacific,Port Canaveral,Interior,11,12,328,8,2,61650
Princess,Mexico,Los Angeles,Suite,6,6,157,0,4,34360
MSC,Northern Europe,New Orleans,Suite,8,9,228,6,4,72200
Celebrity,South Pacific,Los Angeles,Ocean View,10,4,67,11,2,40200
Disney,Hawaii,Port Canaveral,Suite,6,1,349,4,2,72630
MSC,Bahamas,New York,Suite,7,5,113,22,1,7000
Carnival,Hawaii,New Orleans,Balcony,6,5,123,7,2,17170
Carnival,Northern Europe,Fort Lauderdale,Balcony,11,11,282,7,2,34640
Holland America,Caribbean,Tampa,Suite,5,8,203,15,3,20510
Holland America,Alaska,Galveston,Interior,12,11,285,9,2,18710
Disney,Mexico,Seattle,Interior,4,2,8,10,1,4680
Norwegian,Alaska,New York,Interior,13,11,296,17,1,12020
Princess,Bahamas,New Orleans,Ocean View,7,1,348,15,2,9750
Royal Caribbean,Mexico,Los Angeles,Ocean View,7,6,154,0,3,14460
Norwegian,Alaska,New Orleans,Suite,10,5,110,24,4,56990
Norwegian,Northern Europe,Miami,Balcony,13,5,102,3,2,42970
MSC,Northern Europe,Los Angeles,Suite,13,8,219,13,2,84680
Carnival,Caribbean,Galveston,Ocean View,7,6,130,8,2,7260
Royal Caribbean,Alaska,Port Canaveral,Ocean View,10,6,144,19,2,28220
Royal Caribbean,Bahamas,Los Angeles,Ocean View,10,11,290,7,3,15720
Disney,Hawaii,Fort Lauderdale,Interior,6,9,238,19,1,8870
Norwegian,Mexico,Seattle,Balcony,4,6,157,0,2,8050
MSC,Mediterranean,Fort Lauderdale,Balcony,13,8,191,13,3,57920
Norwegian,Northern Europe,Fort Lauderdale,Interior,10,10,257,24,2,18250
MSC,Bahamas,Seattle,Balcony,8,12,331,10,2,13070
Norwegian,Alaska,Los Angeles,Suite,11,3,54,9,2,46040
Royal Caribbean,Mediterranean,Miami,Balcony,12,7,182,2,3,74770
MSC,Mexico,New Orleans,Balcony,8,8,211,15,2,8960
MSC,Caribbean,Los Angeles,Balcony,7,5,126,2,2,12890
Celebrity,Mexico,Fort Lauderdale,Suite,5,10,253,9,2,13800
MSC,Alaska,Fort Lauderdale,Balcony,14,10,276,16,2,26670
Celebrity,Mediterranean,Port Canaveral,Interior,8,6,155,0,2,30840
Princess,Mediterranean,Los Angeles,Suite,13,3,55,16,2,69530
Celebrity,Caribbean,Fort Lauderdale,Interior,7,11,281,15,4,15600
Carnival,Mexico,San Juan,Ocean View,4,3,54,2,2,5990
Holland America,South Pacific,Port Canaveral,Suite,7,10,255,25,2,40940
Disney,Bahamas,San Juan,Interior,6,12,330,16,2,9990
Princess,Alaska,Los Angeles,Balcony,13,12,335,17,2,38570
Royal Caribbean,Alaska,San Juan,Suite,10,3,43,11,4,69790
Norwegian,Mediterranean,Seattle,Interior,9,5,106,1,2,20230
Holland America,Hawaii,Miami,Balcony,6,4,77,5,2,25680
Carnival,Bahamas,Port Canaveral,Balcony,3,8,216,15,1,2000
Celebrity,Bahamas,Galveston,Balcony,7,11,296,4,1,6230
Holland America,Northern Europe,Tampa,Ocean View,9,4,72,4,3,41350
Princess,Caribbean,Galveston,Interior,5,11,307,4,2,5920
Norwegian,Caribbean,Seattle,Balcony,4,2,21,3,4,18600
Royal Caribbean,Bahamas,Tampa,Interior,5,7,164,6,2,4440
Carnival,Mediterranean,Port Canaveral,Ocean View,13,3,66,25,2,22440
MSC,Mexico,Seattle,Balcony,6,7,177,4,2,8550
Norwegian,Northern Europe,New Orleans,Balcony,13,2,9,5,2,37000
Holland America,Northern Europe,New Orleans,Ocean View,7,11,305,11,2,19680
Disney,South Pacific,New Orleans,Ocean View,12,5,97,19,2,49730
MSC,Hawaii,Fort Lauderdale,Suite,5,5,97,12,4,39940
Holland America,Hawaii,San Juan,Balcony,7,6,143,15,3,51210
Holland America,Alaska,Tampa,Balcony,8,12,324,13,2,20730
Carnival,Mexico,Galveston,Suite,5,8,214,18,2,8130
Norwegian,Mexico,New Orleans,Suite,8,8,208,13,3,23640
MSC,Hawaii,New York,Ocean View,6,1,359,22,4,32860
Norwegian,Hawaii,Port Canaveral,Ocean View,5,8,205,15,4,26320
Norwegian,Mexico,Galveston,Interior,6,4,87,20,2,5790
Holland America,Mediterranean,Galveston,Ocean View,11,8,217,17,2,31640
Holland America,Mediterranean,Seattle,Interior,13,11,282,4,2,30350
Disney,Mediterranean,Seattle,Interior,10,1,351,16,1,17710
Holland America,Mediterranean,Fort Lauderdale,Suite,7,10,261,25,2,33140
Norwegian,Northern Europe,Los Angeles,Interior,7,3,55,8,2,18180
Holland America,South Pacific,New York,Interior,13,6,147,18,2,39510
Norwegian,Bahamas,Seattle,Balcony,7,11,310,24,2,9610
Disney,Northern Europe,Galveston,Ocean View,9,11,303,20,2,33860
Princess,Hawaii,Tampa,Suite,8,5,104,19,2,38850
Norwegian,Mexico,Tampa,Interior,5,11,300,8,2,4910
Carnival,Bahamas,Seattle,Ocean View,7,8,203,22,2,6270
Disney,Bahamas,Los Angeles,Suite,10,2,20,13,2,41320
MSC,Mediterranean,Tampa,Balcony,7,3,60,12,2,17370
Celebrity,Caribbean,Seattle,Interior,7,6,133,18,2,8760
Royal Caribbean,Bahamas,Tampa,Ocean View,5,6,146,6,2,5710
Holland America,South Pacific,New Orleans,Ocean View,8,6,151,1,3,39170
Princess,Bahamas,Fort Lauderdale,Interior,8,10,259,19,2,6140
Carnival,Mexico,Fort Lauderdale,Interior,5,6,151,18,2,3870
Carnival,Caribbean,New Orleans,Interior,6,4,89,1,2,8080
Holland America,Northern Europe,Seattle,Interior,8,3,44,19,2,21400
MSC,Mexico,Fort Lauderdale,Ocean View,9,5,109,8,2,9830
Celebrity,Mexico,Port Canaveral,Balcony,11,5,114,10,2,20740
Holland America,Caribbean,San Juan,Suite,10,3,56,15,3,59980
Carnival,Mediterranean,Miami,Suite,14,3,57,22,3,85300
Disney,Bahamas,Port Canaveral,Ocean View,7,3,57,18,2,13230
Royal Caribbean,Alaska,Los Angeles,Balcony,7,4,89,16,2,17580
Carnival,Mexico,Fort Lauderdale,Interior,4,10,280,14,3,4310
Princess,Hawaii,Los Angeles,Ocean View,9,3,45,24,4,46910
MSC,Northern Europe,New York,Suite,13,6,157,13,2,93820
Carnival,Mediterranean,Miami,Interior,14,7,161,19,4,57300
Holland America,Bahamas,Port Canaveral,Balcony,5,4,84,3,2,8060
Royal Caribbean,Bahamas,Fort Lauderdale,Ocean View,8,5,118,10,1,5670
Holland America,Alaska,Fort Lauderdale,Suite,11,7,183,10,2,69610
Celebrity,Alaska,New Orleans,Suite,8,4,78,20,2,34920
Disney,Bahamas,San Juan,Suite,6,12,321,8,2,29780
Celebrity,Northern Europe,San Juan,Suite,10,3,36,0,2,71110
Celebrity,Northern Europe,Galveston,Suite,13,5,113,11,2,71000
Princess,Alaska,Los Angeles,Ocean View,8,9,240,4,2,24390
Norwegian,Hawaii,Galveston,Suite,3,8,202,0,2,19200
Royal Caribbean,Bahamas,New Orleans,Balcony,4,5,120,0,4,10460
Holland America,Northern Europe,New Orleans,Ocean View,14,3,59,0,1,29140
Holland America,Northern Europe,New Orleans,Interior,10,10,255,4,2,20900
Royal Caribbean,South Pacific,Port Canaveral,Suite,8,4,69,11,3,69740
Norwegian,Alaska,Port Canaveral,Ocean View,9,4,96,17,2,17120
Royal Caribbean,Mexico,Galveston,Suite,8,10,276,6,2,19270
Princess,Caribbean,New Orleans,Interior,4,11,290,8,2,4230
Carnival,Mediterranean,Fort Lauderdale,Balcony,10,7,184,21,1,20840
Celebrity,Mediterranean,Los Angeles,Balcony,9,12,336,16,2,32730
Royal Caribbean,Northern Europe,Fort Lauderdale,Balcony,12,10,257,17,4,66120
Disney,Mediterranean,Port Canaveral,Interior,8,3,44,0,3,33450
Carnival,Mexico,Tampa,Balcony,5,12,320,10,3,13680
Norwegian,Bahamas,New Orleans,Balcony,6,8,216,25,2,5760
Norwegian,Caribbean,Fort Lauderdale,Ocean View,6,1,352,17,4,19640
MSC,Caribbean,Tampa,Suite,7,10,261,17,2,12720
Royal Caribbean,Mediterranean,New York,Suite,8,1,348,4,1,30800
Disney,Mexico,Seattle,Ocean View,6,2,14,10,3,21630
Celebrity,Hawaii,Galveston,Suite,6,7,163,22,3,62670
Princess,Alaska,Seattle,Interior,13,11,297,20,1,12180
Princess,Hawaii,New York,Ocean View,6,11,285,13,1,10640
Carnival,Caribbean,Galveston,Suite,5,6,130,7,2,11830
Princess,Hawaii,Miami,Suite,4,7,169,4,2,35660
Carnival,Mediterranean,New York,Suite,7,4,78,11,2,35230
Royal Caribbean,Mexico,Los Angeles,Ocean View,7,12,322,19,2,10440
Holland America,Mexico,New Orleans,Balcony,6,10,262,5,2,9810
Royal Caribbean,Mexico,Tampa,Ocean View,7,6,135,5,2,7910
Royal Caribbean,Caribbean,Fort Lauderdale,Balcony,6,4,71,9,2,13690
Celebrity,Hawaii,Seattle,Ocean View,6,7,174,17,2,23940
Disney,Mexico,Seattle,Interior,4,10,262,18,3,7610
Royal Caribbean,Alaska,Port Canaveral,Balcony,7,6,129,24,2,24430
Norwegian,Hawaii,Galveston,Balcony,4,5,120,2,2,13520
Norwegian,Northern Europe,Miami,Ocean View,9,12,316,13,2,24970
Carnival,South Pacific,Fort Lauderdale,Ocean View,9,12,314,4,3,52050
Royal Caribbean,Mexico,Seattle,Interior,6,5,97,3,2,6700
MSC,Alaska,Seattle,Suite,14,2,9,12,2,38970
Norwegian,Hawaii,Tampa,Interior,4,5,125,18,2,7670
Royal Caribbean,Mexico,Miami,Balcony,4,2,30,13,1,4700
Royal Caribbean,Bahamas,Tampa,Ocean View,5,12,323,7,2,7520
Disney,Bahamas,Miami,Interior,4,2,18,5,3,9950
Celebrity,Northern Europe,Seattle,Interior,12,8,199,22,3,56230
Princess,South Pacific,New York,Interior,12,12,314,9,1,27220
Disney,Alaska,Miami,Ocean View,12,5,118,4,3,54550
Carnival,Northern Europe,Los Angeles,Suite,8,6,152,10,2,64930
Disney,Mexico,Los Angeles,Ocean View,3,4,67,19,2,6430
Celebrity,Mediterranean,Fort Lauderdale,Interior,14,9,226,13,3,53390
Celebrity,Caribbean,Port Canaveral,Balcony,6,12,338,24,2,16720
Norwegian,Caribbean,New York,Ocean View,4,1,365,20,2,7850
Royal Caribbean,Northern Europe,San Juan,Interior,9,6,132,2,2,31130
Holland America,South Pacific,Miami,Suite,14,12,330,13,2,141300
MSC,Alaska,Tampa,Ocean View,8,11,283,11,2,11140
Carnival,Alaska,New York,Suite,12,8,219,7,4,124620
Carnival,Bahamas,Port Canaveral,Balcony,6,5,105,0,1,4240
MSC,South Pacific,Tampa,Balcony,9,6,131,22,2,24540
MSC,Alaska,Seattle,Balcony,13,8,201,19,2,42310
Disney,Mexico,Los Angeles,Interior,6,5,110,25,2,7740
Holland America,Hawaii,Galveston,Interior,8,10,275,4,1,10000
Carnival,Mexico,Seattle,Interior,7,4,90,22,2,6380
Princess,Alaska,Los Angeles,Suite,10,8,195,2,3,116530
Disney,Alaska,Galveston,Balcony,10,6,134,15,4,85900
Celebrity,Northern Europe,Seattle,Balcony,13,6,140,16,2,71290
Princess,Northern Europe,Port Canaveral,Ocean View,11,8,195,3,1,27370
Holland America,Alaska,Miami,Balcony,9,11,297,13,2,26190
Celebrity,Bahamas,Miami,Ocean View,8,4,71,24,2,10780
Holland America,South Pacific,San Juan,Ocean View,12,2,18,19,2,43710
MSC,Mexico,Port Canaveral,Balcony,4,11,301,3,2,5330
Celebrity,Caribbean,Port Canaveral,Ocean View,7,6,156,15,2,10560
Royal Caribbean,Mexico,Los Angeles,Balcony,7,9,244,4,2,10680
Princess,Caribbean,Miami,Suite,5,12,339,19,2,21100
Carnival,Mexico,New York,Suite,6,4,80,24,2,14410
Disney,Alaska,San Juan,Interior,11,7,169,2,3,60600
Holland America,South Pacific,Los Angeles,Suite,10,8,215,20,2,66420
Norwegian,Northern Europe,Miami,Ocean View,9,4,84,0,3,43630
Royal Caribbean,Mexico,Port Canaveral,Balcony,5,6,136,24,4,13160
MSC,Mediterranean,Seattle,Ocean View,13,2,18,25,2,21470
Holland America,South Pacific,Tampa,Interior,12,12,334,21,2,36490
Princess,Northern Europe,Miami,Ocean View,12,9,221,8,2,47570
Royal Caribbean,Bahamas,Port Canaveral,Ocean View,5,8,196,24,3,6290
MSC,Hawaii,Miami,Interior,4,7,176,9,2,9360
Disney,Hawaii,New York,Interior,8,5,117,16,3,36550
Royal Caribbean,Mexico,Fort Lauderdale,Balcony,4,3,38,8,2,8910
Celebrity,Northern Europe,New York,Suite,10,7,176,6,2,109260
Carnival,Mexico,Los Angeles,Ocean View,5,7,170,11,2,5300
MSC,Caribbean,Fort Lauderdale,Interior,8,10,271,10,2,6610
Disney,Bahamas,Los Angeles,Suite,6,2,25,2,4,55130
Royal Caribbean,Alaska,Fort Lauderdale,Suite,10,10,254,22,2,35630
Carnival,Bahamas,New York,Balcony,8,9,224,25,2,9070
Holland America,Bahamas,San Juan,Interior,6,8,204,14,2,5420
MSC,Mediterranean,Seattle,Ocean View,7,7,171,0,2,25380
MSC,Hawaii,New Orleans,Ocean View,5,11,283,2,2,10390
Holland America,Hawaii,Port Canaveral,Suite,6,6,133,11,4,80430
MSC,Alaska,Port Canaveral,Balcony,9,3,55,14,4,34020
Disney,Hawaii,Fort Lauderdale,Interior,6,11,283,8,4,36830
Holland America,South Pacific,Miami,Ocean View,10,2,10,4,3,64170
Celebrity,Mediterranean,Los Angeles,Ocean View,13,9,227,18,2,38160
MSC,Mexico,Fort Lauderdale,Balcony,6,3,38,5,2,9570
Celebrity,Mexico,Fort Lauderdale,Suite,9,2,9,25,2,28760
MSC,Caribbean,Port Canaveral,Suite,8,2,11,20,2,20470
MSC,Alaska,Los Angeles,Suite,8,4,68,24,2,28480
Norwegian,Hawaii,Los Angeles,Ocean View,6,8,206,6,1,10430
Royal Caribbean,Caribbean,Fort Lauderdale,Suite,4,2,31,4,3,24790
Princess,Alaska,New Orleans,Ocean View,14,5,117,21,4,50130
Celebrity,South Pacific,Los Angeles,Suite,13,4,68,21,2,94830
Disney,Bahamas,Galveston,Suite,7,9,229,11,3,25560
Holland America,South Pacific,New Orleans,Suite,13,10,275,7,2,75310
Princess,Caribbean,San Juan,Interior,7,4,84,5,4,19150
Princess,Alaska,Galveston,Suite,14,12,326,6,4,106880
Norwegian,Alaska,San Juan,Interior,11,6,131,19,3,33450
Disney,Caribbean,New Orleans,Balcony,6,6,131,13,1,9080
Carnival,Hawaii,San Juan,Suite,4,7,175,1,3,38410
Carnival,Caribbean,Seattle,Interior,7,4,84,13,1,5460
Royal Caribbean,Alaska,Galveston,Suite,10,1,349,8,3,55990
Celebrity,South Pacific,Tampa,Ocean View,10,8,190,15,3,47370
Norwegian,Bahamas,San Juan,Balcony,5,11,298,2,3,10380
Holland America,Mediterranean,Seattle,Suite,10,4,86,0,3,86550
Carnival,South Pacific,Seattle,Ocean View,9,10,272,4,2,23690
Celebrity,Mexico,Los Angeles,Ocean View,6,6,155,0,1,5980
Royal Caribbean,Alaska,New York,Interior,7,3,51,9,2,12840
Holland America,Caribbean,Fort Lauderdale,Balcony,6,11,293,24,2,10900
MSC,Alaska,Fort Lauderdale,Suite,10,3,36,20,2,34200
MSC,Mediterranean,Seattle,Balcony,10,8,202,19,3,46960
MSC,Caribbean,Miami,Interior,4,2,26,18,1,2550
MSC,Bahamas,New York,Suite,4,2,8,25,4,14810
Royal Caribbean,Alaska,Galveston,Ocean View,11,3,40,10,2,23090
Norwegian,Caribbean,Miami,Ocean View,8,5,119,20,2,9260
Holland America,Bahamas,Seattle,Ocean View,5,10,280,20,1,3380
Carnival,Alaska,Seattle,Ocean View,12,11,299,9,3,33460
Princess,South Pacific,Galveston,Interior,10,3,44,2,1,19050
Celebrity,Mediterranean,Miami,Ocean View,13,10,261,6,2,35730
Princess,Alaska,New York,Interior,8,7,164,4,2,26140
MSC,South Pacific,Galveston,Suite,8,8,214,25,2,29870
Disney,Bahamas,Los Angeles,Suite,5,4,71,21,2,16810
MSC,Northern Europe,Seattle,Ocean View,12,2,19,2,3,46190
Holland America,Alaska,Seattle,Suite,9,5,101,13,2,46990
Disney,Caribbean,Los Angeles,Ocean View,6,3,50,12,4,29780
Celebrity,Alaska,New York,Ocean View,8,9,244,9,2,25800
MSC,Hawaii,Port Canaveral,Interior,5,12,325,15,2,11160
Norwegian,Northern Europe,San Juan,Balcony,13,7,158,0,2,63630
MSC,Hawaii,Galveston,Interior,3,3,44,22,4,7690
Princess,Bahamas,Fort Lauderdale,Suite,8,8,205,10,2,16430
MSC,Bahamas,San Juan,Ocean View,9,7,187,12,2,6950
Carnival,South Pacific,Fort Lauderdale,Interior,11,10,276,13,1,13800
